date,open,high,low,close,volume
2020-01-13,2995.0,3056.25,2987.3,3045.1,420792
2020-01-14,3058.0,3119.0,3037.15,3105.15,653300
2020-01-15,3120.0,3133.95,3092.9,3114.2,438959
2020-01-16,3116.0,3160.0,3115.0,3150.25,768872
2020-01-17,3155.0,3169.0,3114.35,3124.45,294064
2020-01-20,3143.0,3143.0,3104.4,3110.45,203111
2020-01-21,3100.0,3130.0,3077.25,3111.25,220943
2020-01-22,3125.5,3138.7,3088.9,3106.35,248578
2020-01-23,3103.85,3122.9,3068.1,3112.95,203032
2020-01-24,3113.15,3212.95,3112.05,3192.5,580192
2020-01-27,3187.0,3210.0,3155.0,3174.2,322446
2020-01-28,3182.9,3209.9,3136.5,3181.25,292577
2020-01-29,3200.0,3245.5,3190.05,3214.2,434882
2020-01-30,3208.95,3234.7,3192.45,3210.7,337850
2020-01-31,3242.7,3274.6,3186.85,3200.7,468850
2020-02-01,3161.0,3220.0,3080.0,3097.6,237502
2020-02-03,3097.6,3249.0,3092.35,3230.05,657504
2020-02-04,3235.0,3300.0,3188.0,3232.5,511585
2020-02-05,3269.8,3318.0,3243.7,3255.95,423733
2020-02-06,3260.35,3293.0,3236.35,3252.2,410631
2020-02-07,3256.0,3296.0,3237.1,3251.4,450061
2020-02-10,3270.0,3280.0,3125.0,3155.6,969115
2020-02-11,3179.95,3198.8,3124.2,3134.7,507516
2020-02-12,3124.2,3209.0,3124.2,3136.8,669153
2020-02-13,3132.0,3143.65,3105.2,3135.2,319421
2020-02-14,3116.0,3159.0,3090.3,3096.65,270506
2020-02-17,3095.0,3112.3,3072.05,3084.1,224912
2020-02-18,3080.0,3080.0,3020.0,3066.45,453173
2020-02-19,3082.1,3111.0,3040.0,3082.25,462922
2020-02-20,3079.8,3123.45,3052.25,3059.4,270720
2020-02-24,3059.0,3065.0,3005.0,3036.2,427352
2020-02-25,3040.0,3078.0,3018.0,3033.55,350415
2020-02-26,3025.1,3069.9,3016.7,3041.35,366302
2020-02-27,3036.95,3100.0,2960.0,3026.05,652385
2020-02-28,2983.0,3020.0,2917.0,2970.2,619510
2020-03-02,2995.0,3053.95,2925.0,2949.1,348147
2020-03-03,2970.0,3045.5,2965.0,3026.5,399770
2020-03-04,3048.0,3080.0,3028.0,3063.05,368498
2020-03-05,3082.6,3165.0,3076.1,3127.15,720100
2020-03-06,3084.9,3100.0,3013.25,3081.4,593374
2020-03-09,3045.0,3061.8,2968.5,2996.5,607257
2020-03-11,2982.2,3065.9,2944.1,3048.3,534597
2020-03-12,2945.0,2968.95,2785.05,2810.65,774263
2020-03-13,2700.0,3049.9,2410.0,2763.6,1108162
2020-03-16,2704.8,2744.65,2602.05,2709.0,791034
2020-03-17,2720.0,2795.75,2669.05,2686.0,567266
2020-03-18,2728.0,2744.95,2480.0,2501.95,649481
2020-03-19,2389.0,2404.0,2260.0,2318.15,786857
2020-03-20,2341.3,2500.9,2294.25,2467.8,742455
2020-03-23,2300.0,2422.4,2100.0,2137.85,613493
2020-03-24,2117.0,2450.0,2111.9,2364.7,929170
2020-03-25,2364.6,2511.6,2317.1,2451.4,1249005
2020-03-26,2471.55,2668.8,2417.3,2588.45,944116
2020-03-27,2690.0,2708.95,2505.0,2529.25,472582
2020-03-30,2465.25,2579.35,2442.75,2473.75,701815
2020-03-31,2579.95,2710.0,2490.0,2688.95,734769
2020-04-01,2700.0,2780.0,2505.0,2564.85,1167150
2020-04-03,2588.95,2610.0,2475.0,2563.25,726903
2020-04-07,2640.15,2878.7,2640.15,2834.5,1062855
2020-04-08,2829.0,2990.0,2759.0,2775.55,1037961
2020-04-09,2850.0,2850.0,2732.9,2801.7,893108
2020-04-13,2800.0,2800.0,2697.35,2706.15,501533
2020-04-15,2772.0,2908.5,2754.7,2837.35,1011691
2020-04-16,2837.5,2893.95,2815.0,2836.8,675907
2020-04-17,2884.0,2895.0,2802.2,2832.15,705271
2020-04-20,2860.1,2864.8,2801.0,2833.0,667917
2020-04-21,2779.9,2906.35,2733.15,2863.25,1129799
2020-04-22,2863.0,2969.7,2827.45,2952.65,737395
2020-04-23,2960.0,3245.0,2918.0,2947.4,3426363
2020-04-24,2980.0,3122.9,2956.0,3062.15,2613797
2020-04-27,3075.85,3290.0,3070.0,3242.05,1993378
2020-04-28,3277.0,3289.85,3160.0,3193.95,1379063
2020-04-29,3187.8,3238.75,3150.0,3156.8,1177520
2020-04-30,3195.0,3205.0,3150.0,3165.75,1021592
2020-05-04,3109.0,3160.0,3056.0,3092.95,591353
2020-05-05,3107.0,3126.0,2970.5,2978.75,905266
2020-05-06,2950.0,3065.0,2907.65,2987.7,995972
2020-05-07,2977.7,2980.0,2867.0,2915.35,994651
