date,open,high,low,close,volume
2020-01-13,334.0,335.45,329.05,330.75,23615129
2020-01-14,329.8,331.7,326.5,328.0,26296117
2020-01-15,329.0,329.2,322.35,324.25,32625740
2020-01-16,324.0,326.9,322.35,323.3,26653623
2020-01-17,313.0,323.5,310.1,318.0,58396326
2020-01-20,321.0,321.45,313.4,314.0,30682902
2020-01-21,313.8,316.95,312.0,313.7,30591772
2020-01-22,317.0,317.0,313.7,316.15,24994911
2020-01-23,316.0,324.8,314.15,323.2,33293610
2020-01-24,323.5,327.3,321.15,324.05,22706879
2020-01-27,320.9,322.0,315.8,316.2,23309355
2020-01-28,317.95,320.0,311.05,315.1,26488426
2020-01-29,317.85,319.7,315.55,316.45,23914114
2020-01-30,316.75,316.75,305.65,310.7,35802330
2020-01-31,313.7,321.7,308.6,318.45,92656638
2020-02-01,317.95,322.65,296.3,302.6,61841736
2020-02-03,303.0,306.85,295.35,298.1,56060158
2020-02-04,302.9,307.55,297.1,306.25,51141567
2020-02-05,306.9,313.65,304.6,311.0,35014841
2020-02-06,311.2,323.5,310.1,321.95,57757656
2020-02-07,321.5,325.0,318.4,320.55,37126803
2020-02-10,319.8,322.8,316.5,318.5,24816396
2020-02-11,321.05,325.8,321.05,324.35,30188757
2020-02-12,329.9,329.9,319.25,320.2,38930849
2020-02-13,322.0,330.95,322.0,327.45,62516057
2020-02-14,328.1,331.9,318.55,319.4,48205947
2020-02-17,320.95,321.15,311.65,314.2,36950692
2020-02-18,315.4,319.2,309.4,317.55,38588583
2020-02-19,322.3,324.0,317.25,320.35,39846727
2020-02-20,319.35,329.2,318.75,327.65,40150409
2020-02-24,325.75,331.3,321.85,322.95,45273936
2020-02-25,325.9,328.15,322.2,326.8,39050709
2020-02-26,324.85,330.8,324.2,328.2,43915281
2020-02-27,328.0,330.0,318.0,321.95,47010040
2020-02-28,312.0,314.65,301.1,303.0,59705346
2020-03-02,311.0,312.0,284.05,287.4,66711413
2020-03-03,293.0,294.4,285.3,289.85,61949382
2020-03-04,291.8,293.0,275.1,285.3,73675736
2020-03-05,290.9,298.4,270.0,288.5,149245973
2020-03-06,268.0,274.4,253.95,270.5,106043172
2020-03-09,260.05,262.75,251.15,253.45,101294751
2020-03-11,253.0,258.5,243.1,245.1,90847179
2020-03-12,231.9,231.9,208.6,212.6,99770256
2020-03-13,200.0,248.8,184.65,242.0,155703140
2020-03-16,227.9,231.4,220.6,223.35,75584607
2020-03-17,227.2,229.9,212.05,215.15,65414721
2020-03-18,221.0,223.15,200.1,215.2,101405421
2020-03-19,202.95,219.75,198.15,203.65,93535977
2020-03-20,205.55,215.7,200.0,209.85,77393021
2020-03-23,190.0,199.5,180.25,181.6,61751758
2020-03-24,190.95,191.95,173.55,183.2,67492010
2020-03-25,178.0,195.25,176.45,189.9,71568237
2020-03-26,191.55,201.0,185.1,192.75,107260674
2020-03-27,202.0,211.9,195.0,195.95,114746995
2020-03-30,190.0,195.0,186.25,186.9,60083237
2020-03-31,192.0,198.5,188.05,196.85,59543906
2020-04-01,194.0,194.5,185.25,186.55,52954482
2020-04-03,187.55,188.2,175.0,175.5,64455937
2020-04-07,184.4,187.3,177.6,186.4,72133717
2020-04-08,182.9,194.4,180.45,183.0,80436673
2020-04-09,188.0,190.0,183.6,187.75,62417301
2020-04-13,186.8,188.7,183.1,183.5,51847574
2020-04-15,187.0,191.95,180.15,182.35,72190294
2020-04-16,182.0,189.9,180.25,188.5,61165997
2020-04-17,196.0,198.0,186.3,193.25,89858053
2020-04-20,194.0,197.35,190.05,192.5,81961666
2020-04-21,188.0,188.2,183.0,184.75,53043573
2020-04-22,185.5,189.5,181.35,188.7,61503792
2020-04-23,187.75,189.9,185.15,186.7,50957437
2020-04-24,184.0,184.0,179.0,179.75,65146846
2020-04-27,183.5,183.5,180.5,180.9,43003001
2020-04-28,182.0,185.35,181.2,184.3,49590249
2020-04-29,185.0,191.8,183.5,190.1,57470639
2020-04-30,193.5,195.9,189.7,190.5,63069460
2020-05-04,182.45,183.5,178.0,178.85,58122608
2020-05-05,181.0,181.25,168.8,170.4,91050629
2020-05-06,171.15,173.3,166.55,171.1,73156881
2020-05-07,170.85,172.55,168.8,170.75,42944139
2020-05-08,172.45,173.8,166.1,166.65,55935527
2020-05-11,167.95,168.9,165.0,165.45,54594499
2020-05-12,164.2,168.5,160.85,166.9,70752913
2020-05-13,178.55,178.55,170.5,174.1,81721884
2020-05-14,170.95,171.75,167.5,167.95,48137099
2020-05-15,167.95,168.25,164.7,166.4,35498484
2020-05-18,166.4,166.4,155.0,155.3,77350889
2020-05-19,157.5,157.85,152.4,152.8,71522983
2020-05-20,153.0,155.25,151.15,153.4,66178068
2020-05-21,153.65,156.15,151.5,151.95,61150189
2020-05-22,152.0,155.6,149.45,150.85,87069955
2020-05-26,152.4,153.2,150.2,151.4,48281208
2020-05-27,151.95,160.8,150.8,158.6,88206678
2020-05-28,159.45,162.4,156.7,158.2,76970390
2020-05-29,156.1,161.9,155.2,161.3,58368035
2020-06-01,164.0,171.4,163.35,170.05,92742124
2020-06-02,169.9,171.3,167.2,170.25,70422258
2020-06-03,172.5,179.9,172.0,174.9,113173574
2020-06-04,174.9,177.65,171.5,174.05,83495015
2020-06-05,176.55,189.8,176.0,187.8,201325176
2020-06-08,197.0,197.5,185.8,186.8,151750421
2020-06-09,187.7,191.0,183.35,184.45,96656234
2020-06-10,184.55,189.0,183.8,187.7,67335901
2020-06-11,188.0,190.4,176.35,177.15,91729798
2020-06-12,170.0,180.0,169.8,179.15,92761694
2020-06-15,177.85,177.85,172.0,173.7,63617286
2020-06-16,178.0,178.95,169.4,172.9,63929925
2020-06-17,171.0,176.2,169.25,172.95,73867145
2020-06-18,172.4,180.65,171.1,179.65,58262367
2020-06-19,180.3,184.95,179.5,184.5,76897890
2020-06-22,185.0,191.75,184.25,187.7,80024673
2020-06-23,189.6,193.1,187.85,192.45,65487726
2020-06-24,194.8,194.9,183.9,184.6,74670206
2020-06-25,182.2,186.8,180.4,185.25,73626947
2020-06-26,188.0,188.6,183.8,184.6,49178705
2020-06-29,183.0,183.1,178.5,179.25,50967079
2020-06-30,181.1,182.9,177.25,178.45,43616291
2020-07-01,179.45,185.4,178.6,184.8,54015536
2020-07-02,185.65,188.0,184.0,185.45,52127613
2020-07-03,186.65,186.85,183.4,184.7,38050996
2020-07-06,186.6,189.85,186.15,188.05,43789749
2020-07-07,187.0,189.2,184.05,188.6,55124984
2020-07-08,188.9,197.45,188.4,191.9,143083196
2020-07-09,192.8,201.0,192.55,199.1,89540860
2020-07-10,198.0,202.5,194.8,195.6,111410003
2020-07-13,198.8,199.8,191.6,192.7,61952344
2020-07-14,192.3,192.3,184.6,186.05,62243325
2020-07-15,187.95,189.95,183.0,183.8,58528072
2020-07-16,185.0,186.95,181.65,186.25,46549518
2020-07-17,186.8,189.5,185.0,188.2,47035751
2020-07-20,190.0,193.25,188.75,190.75,45680606
2020-07-21,192.45,196.2,191.5,194.4,59286092
2020-07-22,195.7,196.75,190.1,192.0,62276770
2020-07-23,192.4,199.1,191.15,198.25,70802269
2020-07-24,195.7,196.3,190.65,191.95,65266228
2020-07-27,193.0,193.2,186.5,187.15,50714366
