date,open,high,low,close,volume
2020-01-13,391.9,393.9,389.3,390.35,1516112
2020-01-14,391.0,392.6,386.0,389.2,1963128
2020-01-15,389.3,391.4,386.0,390.8,1536571
2020-01-16,392.0,394.6,389.8,390.95,1340762
2020-01-17,390.9,392.4,386.0,387.6,1644832
2020-01-20,387.65,389.2,378.8,380.05,1760945
2020-01-21,378.8,382.0,375.3,379.95,2005178
2020-01-22,379.95,385.0,379.0,383.6,1817459
2020-01-23,384.45,386.75,380.75,385.85,1202104
2020-01-24,383.0,387.4,380.3,384.75,1572385
2020-01-27,383.7,386.25,379.8,381.25,1076027
2020-01-28,380.7,381.5,370.2,372.95,2220618
2020-01-29,377.5,387.75,373.75,383.35,3588224
2020-01-30,381.0,383.7,376.85,378.0,1526892
2020-01-31,380.05,381.55,368.25,369.4,2912256
2020-02-01,369.8,371.4,360.65,362.3,1839534
2020-02-03,364.0,370.0,355.5,367.35,2857926
2020-02-04,370.1,376.0,366.35,372.5,3061868
2020-02-05,372.0,372.5,361.1,366.6,3441871
2020-02-06,370.0,373.2,367.65,370.2,4172547
2020-02-07,370.2,373.7,367.2,369.55,2197903
2020-02-10,370.05,373.45,366.15,368.25,1537598
2020-02-11,370.5,378.4,369.05,374.2,2836917
2020-02-12,376.95,378.9,371.6,374.1,1873710
2020-02-13,374.0,374.7,367.0,369.1,1602247
2020-02-14,370.3,372.0,366.0,366.85,1012713
2020-02-17,366.85,366.85,359.4,362.8,1979626
2020-02-18,362.5,368.45,358.35,366.6,1693616
2020-02-19,371.0,374.45,367.35,371.3,2057811
2020-02-20,371.0,374.5,370.0,370.85,1799254
2020-02-24,367.65,371.4,361.5,362.25,2070656
2020-02-25,362.3,364.7,355.6,358.4,2530137
2020-02-26,356.9,362.5,352.9,358.4,4164401
2020-02-27,358.7,360.75,351.5,353.7,1977795
2020-02-28,347.0,348.65,339.2,342.2,4299292
2020-03-02,346.1,351.05,338.3,340.65,2510491
2020-03-03,344.0,349.05,342.0,347.3,3671071
2020-03-04,347.8,349.8,339.9,345.95,3490806
2020-03-05,347.3,351.9,346.5,349.15,2709900
2020-03-06,339.8,343.2,331.25,341.4,3966036
2020-03-09,334.7,334.7,316.85,321.9,3230319
2020-03-11,322.8,326.35,316.2,320.2,5634636
2020-03-12,288.2,301.9,284.0,287.65,9895077
2020-03-13,260.0,300.7,232.0,292.75,21079070
2020-03-16,273.0,276.85,252.0,261.4,7727956
2020-03-17,265.0,283.35,265.0,267.15,9691227
2020-03-18,270.0,273.0,256.0,260.4,5581367
2020-03-19,248.0,264.15,241.0,258.35,8727962
2020-03-20,257.6,264.5,247.2,256.4,7028925
2020-03-23,235.0,235.8,203.0,207.8,5716818
2020-03-24,216.0,238.75,212.6,231.75,9694177
2020-03-25,222.3,266.5,222.3,255.6,11745146
2020-03-26,257.65,260.1,241.5,248.2,8701776
2020-03-27,259.0,259.6,244.0,251.3,4871655
2020-03-30,248.0,254.85,237.0,251.65,8946439
2020-03-31,255.0,259.6,247.05,251.3,6401288
2020-04-01,246.05,247.8,235.05,244.8,4034211
2020-04-03,246.0,252.8,238.9,244.8,7210453
2020-04-07,254.2,255.85,245.6,248.1,7360798
2020-04-08,248.0,255.85,242.75,250.85,6897883
2020-04-09,254.0,254.6,247.45,251.9,5290672
2020-04-13,252.0,265.5,247.5,262.85,6979354
2020-04-15,265.0,279.4,265.0,268.9,7606729
2020-04-16,267.0,271.3,260.3,267.6,3267294
2020-04-17,275.0,275.9,263.6,268.15,3470271
